SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE
100002,1,Cash loans,M,N,Y,202500,406597.5,Working,Secondary / secondary special,Single / not married,House / apartment
100003,0,Cash loans,F,N,N,270000,1293502.5,State servant,Higher education,Married,House / apartment
100004,0,Revolving loans,M,Y,Y,67500,135000,Working,Secondary / secondary special,Single / not married,House / apartment
100006,0,Cash loans,F,N,Y,135000,312682.5,Working,Secondary / secondary special,Civil marriage,House / apartment
100007,0,Cash loans,M,N,Y,121500,513000,Working,Secondary / secondary special,Single / not married,House / apartment
100008,0,Cash loans,M,N,Y,99000,490495.5,State servant,Secondary / secondary special,Married,House / apartment
100009,0,Cash loans,F,Y,Y,171000,1560726,Commercial associate,Higher education,Married,House / apartment
100010,0,Cash loans,M,Y,Y,360000,1530000,State servant,Higher education,Married,House / apartment
100011,0,Cash loans,F,N,Y,112500,1019610,Pensioner,Secondary / secondary special,Married,House / apartment
100012,0,Revolving loans,M,N,Y,135000,405000,Working,Secondary / secondary special,Single / not married,House / apartment
100014,0,Cash loans,F,N,Y,112500,652500,Working,Higher education,Married,House / apartment
100015,0,Cash loans,F,N,Y,38419.155,148365,Pensioner,Secondary / secondary special,Married,House / apartment
100016,0,Cash loans,F,N,Y,67500,80865,Working,Secondary / secondary special,Married,House / apartment
100017,0,Cash loans,M,Y,N,225000,918468,Working,Secondary / secondary special,Married,House / apartment
100018,0,Cash loans,F,N,Y,189000,773680.5,Working,Secondary / secondary special,Married,House / apartment
100019,0,Cash loans,M,Y,Y,157500,299772,Working,Secondary / secondary special,Single / not married,Rented apartment
100020,0,Cash loans,M,N,N,108000,509602.5,Working,Secondary / secondary special,Married,House / apartment
100021,0,Revolving loans,F,N,Y,81000,270000,Working,Secondary / secondary special,Married,House / apartment
100022,0,Revolving loans,F,N,Y,112500,157500,Working,Secondary / secondary special,Widow,House / apartment
100023,0,Cash loans,F,N,Y,90000,544491,State servant,Higher education,Single / not married,House / apartment
100024,0,Revolving loans,M,Y,Y,135000,427500,Working,Secondary / secondary special,Married,House / apartment
100025,0,Cash loans,F,Y,Y,202500,1132573.5,Commercial associate,Secondary / secondary special,Married,House / apartment
100026,0,Cash loans,F,N,N,450000,497520,Working,Secondary / secondary special,Married,Rented apartment
100027,0,Cash loans,F,N,Y,83250,239850,Pensioner,Secondary / secondary special,Married,House / apartment
100029,0,Cash loans,M,Y,N,135000,247500,Working,Secondary / secondary special,Married,House / apartment
100030,0,Cash loans,F,N,Y,90000,225000,Working,Secondary / secondary special,Married,House / apartment
100031,1,Cash loans,F,N,Y,112500,979992,Working,Secondary / secondary special,Widow,House / apartment
100032,0,Cash loans,M,N,Y,112500,327024,Working,Secondary / secondary special,Married,House / apartment
100033,0,Cash loans,M,Y,Y,270000,790830,State servant,Higher education,Single / not married,House / apartment
100034,0,Revolving loans,M,N,Y,90000,180000,Working,Higher education,Single / not married,With parents
100035,0,Cash loans,F,N,Y,292500,665892,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100036,0,Cash loans,F,N,Y,112500,512064,Working,Secondary / secondary special,Civil marriage,House / apartment
100037,0,Cash loans,F,N,N,90000,199008,Working,Secondary / secondary special,Civil marriage,House / apartment
100039,0,Cash loans,M,Y,N,360000,733315.5,Commercial associate,Secondary / secondary special,Married,House / apartment
100040,0,Cash loans,F,N,Y,135000,1125000,State servant,Higher education,Married,House / apartment
100041,0,Cash loans,F,N,N,112500,450000,Working,Higher education,Married,House / apartment
100043,0,Cash loans,F,N,Y,198000,641173.5,Commercial associate,Secondary / secondary special,Married,House / apartment
100044,0,Cash loans,M,N,Y,121500,454500,Working,Secondary / secondary special,Married,House / apartment
100045,0,Cash loans,F,N,Y,99000,247275,Pensioner,Secondary / secondary special,Married,House / apartment
100046,0,Revolving loans,M,Y,Y,180000,540000,Working,Higher education,Married,House / apartment
100047,1,Cash loans,M,N,Y,202500,1193580,Commercial associate,Secondary / secondary special,Married,House / apartment
100048,0,Cash loans,F,N,Y,202500,604152,Working,Secondary / secondary special,Married,House / apartment
100049,1,Cash loans,F,N,N,135000,288873,Working,Secondary / secondary special,Civil marriage,House / apartment
100050,0,Cash loans,F,N,Y,108000,746280,Pensioner,Higher education,Single / not married,House / apartment
100051,0,Cash loans,M,N,Y,202500,661702.5,Working,Secondary / secondary special,Civil marriage,House / apartment
100052,0,Revolving loans,F,N,Y,90000,180000,Working,Secondary / secondary special,Civil marriage,House / apartment
100053,0,Cash loans,F,N,Y,202500,305221.5,Pensioner,Secondary / secondary special,Single / not married,House / apartment
100054,0,Cash loans,F,N,Y,99000,260640,Working,Secondary / secondary special,Married,House / apartment
100055,0,Cash loans,F,N,N,130500,1350000,State servant,Secondary / secondary special,Married,House / apartment
100056,0,Cash loans,M,Y,Y,360000,1506816,Working,Secondary / secondary special,Married,House / apartment
100058,0,Revolving loans,F,N,Y,54000,135000,State servant,Higher education,Married,House / apartment
100059,0,Cash loans,M,Y,Y,540000,675000,Commercial associate,Higher education,Married,House / apartment
100060,0,Cash loans,M,Y,N,76500,454500,Working,Secondary / secondary special,Married,House / apartment
100061,0,Cash loans,F,N,Y,225000,314055,Commercial associate,Higher education,Married,House / apartment
100062,0,Cash loans,M,Y,N,81000,675000,Pensioner,Secondary / secondary special,Married,House / apartment
100063,0,Cash loans,F,N,Y,180000,837427.5,Working,Higher education,Married,House / apartment
100064,0,Cash loans,F,N,N,67500,298728,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment
100068,0,Revolving loans,M,N,Y,81000,247500,Working,Secondary / secondary special,Married,House / apartment
100069,0,Cash loans,M,Y,Y,360000,640458,Working,Secondary / secondary special,Separated,House / apartment
100070,0,Cash loans,M,Y,Y,540000,1227901.5,Working,Higher education,Widow,House / apartment
100071,0,Cash loans,F,N,Y,180000,1663987.5,Commercial associate,Secondary / secondary special,Married,House / apartment
100072,0,Cash loans,M,N,N,180000,1080000,Working,Incomplete higher,Single / not married,With parents
100073,0,Cash loans,M,Y,Y,324000,1130760,Pensioner,Higher education,Civil marriage,House / apartment
100075,0,Cash loans,F,N,N,112500,95940,Working,Higher education,Single / not married,House / apartment
100076,0,Cash loans,M,Y,N,180000,315000,Commercial associate,Secondary / secondary special,Married,House / apartment
100077,0,Cash loans,M,N,Y,180000,1256400,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
100078,0,Cash loans,F,Y,Y,180000,1035000,State servant,Higher education,Married,House / apartment
100079,0,Revolving loans,M,N,Y,225000,270000,Working,Secondary / secondary special,Separated,Municipal apartment
100080,0,Revolving loans,F,N,N,157500,450000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100081,0,Cash loans,M,Y,N,180000,450000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100082,0,Cash loans,M,N,N,180000,450000,Commercial associate,Higher education,Married,House / apartment
100083,0,Cash loans,M,Y,Y,103500,573628.5,Working,Secondary / secondary special,Married,House / apartment
100084,0,Cash loans,M,N,Y,225000,495351,Working,Secondary / secondary special,Separated,House / apartment
100085,0,Cash loans,M,N,Y,157500,755190,Working,Secondary / secondary special,Married,House / apartment
100086,0,Cash loans,F,N,Y,135000,675000,Commercial associate,Higher education,Widow,House / apartment
100087,0,Cash loans,F,N,Y,202500,1288350,Working,Secondary / secondary special,Married,House / apartment
100088,0,Revolving loans,F,N,N,112500,135000,Commercial associate,Higher education,Married,House / apartment
100089,0,Cash loans,M,N,Y,135000,337761,Working,Secondary / secondary special,Civil marriage,House / apartment
100093,0,Cash loans,F,N,Y,94500,585000,Working,Secondary / secondary special,Married,House / apartment
100094,0,Cash loans,F,N,Y,108000,113760,Pensioner,Higher education,Single / not married,House / apartment
100095,0,Revolving loans,F,N,Y,67500,135000,Working,Secondary / secondary special,Married,House / apartment
100096,1,Cash loans,F,N,Y,81000,252000,Pensioner,Secondary / secondary special,Married,House / apartment
100097,0,Cash loans,M,Y,Y,157500,760225.5,Working,Secondary / secondary special,Married,House / apartment
100098,0,Revolving loans,M,Y,N,225000,270000,Working,Secondary / secondary special,Civil marriage,House / apartment
100099,0,Cash loans,F,N,Y,360000,733315.5,Pensioner,Secondary / secondary special,Separated,House / apartment
100100,0,Cash loans,M,Y,Y,202500,796396.5,Working,Higher education,Married,House / apartment
100101,0,Cash loans,F,Y,Y,202500,343377,State servant,Higher education,Single / not married,House / apartment
100102,0,Cash loans,F,N,N,126000,327024,Working,Secondary / secondary special,Single / not married,House / apartment
100103,0,Cash loans,F,N,Y,72000,450000,Working,Secondary / secondary special,Married,House / apartment
100104,0,Cash loans,F,N,Y,90000,547344,Working,Secondary / secondary special,Married,House / apartment
100105,0,Cash loans,F,N,Y,193500,225000,Working,Secondary / secondary special,Married,House / apartment
100108,0,Cash loans,F,N,Y,171000,545040,Working,Secondary / secondary special,Married,House / apartment
100110,0,Cash loans,M,Y,Y,135000,373140,Commercial associate,Secondary / secondary special,Married,House / apartment
100111,0,Cash loans,F,Y,N,112500,862560,Commercial associate,Secondary / secondary special,Married,With parents
100112,1,Cash loans,M,Y,Y,315000,953460,Commercial associate,Incomplete higher,Single / not married,With parents
100113,0,Cash loans,M,Y,N,76500,135000,Working,Secondary / secondary special,Single / not married,House / apartment
100114,0,Cash loans,F,N,Y,135000,284400,Commercial associate,Higher education,Single / not married,House / apartment
100115,0,Cash loans,F,N,N,90000,315000,Working,Secondary / secondary special,Married,House / apartment
100116,0,Cash loans,F,N,Y,243000,900000,Working,Higher education,Married,House / apartment
100118,0,Cash loans,F,N,Y,90000,675000,Pensioner,Secondary / secondary special,Widow,House / apartment
100119,0,Revolving loans,F,N,Y,54000,180000,Working,Secondary / secondary special,Married,House / apartment
100120,0,Cash loans,F,N,N,135000,781920,Working,Higher education,Married,House / apartment
100121,0,Cash loans,M,N,Y,126000,787131,Working,Secondary / secondary special,Married,With parents
100122,0,Cash loans,F,N,N,76500,808650,Commercial associate,Higher education,Married,With parents
100123,0,Cash loans,F,N,N,103500,675000,Working,Secondary / secondary special,Widow,House / apartment
100124,0,Cash loans,M,N,Y,225000,448272,Pensioner,Secondary / secondary special,Widow,House / apartment
100125,0,Cash loans,F,N,N,126000,263686.5,Pensioner,Secondary / secondary special,Married,House / apartment
100126,0,Revolving loans,M,N,Y,135000,180000,Working,Secondary / secondary special,Married,House / apartment
100127,0,Cash loans,M,N,Y,112500,52128,Pensioner,Secondary / secondary special,Married,House / apartment
100129,0,Revolving loans,F,Y,Y,85500,135000,Working,Higher education,Married,House / apartment
100130,1,Cash loans,F,N,Y,157500,723996,Commercial associate,Incomplete higher,Separated,House / apartment
100131,0,Cash loans,F,N,Y,270000,891072,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
100132,0,Cash loans,F,N,Y,202500,1136439,Commercial associate,Secondary / secondary special,Widow,House / apartment
100133,0,Cash loans,F,N,N,67500,384048,Working,Secondary / secondary special,Civil marriage,With parents
100134,0,Revolving loans,F,N,N,202500,180000,Commercial associate,Secondary / secondary special,Married,House / apartment
100135,0,Cash loans,M,N,Y,135000,391194,Commercial associate,Secondary / secondary special,Married,House / apartment
100136,0,Cash loans,M,Y,N,157500,1571931,State servant,Secondary / secondary special,Married,House / apartment
100137,0,Cash loans,F,Y,Y,225000,891072,Pensioner,Secondary / secondary special,Married,House / apartment
100138,0,Cash loans,M,Y,N,135000,824823,Pensioner,Higher education,Married,House / apartment
100139,0,Cash loans,F,N,N,157500,302341.5,Working,Secondary / secondary special,Married,House / apartment
100140,0,Revolving loans,F,N,N,157500,675000,Commercial associate,Higher education,Married,House / apartment
100142,0,Cash loans,M,Y,Y,360000,579195,State servant,Higher education,Civil marriage,House / apartment
100143,0,Revolving loans,M,N,Y,162000,270000,State servant,Higher education,Married,House / apartment
100144,0,Cash loans,F,N,N,112500,535500,Working,Secondary / secondary special,Separated,House / apartment
